Description,category,group,subcategory,size.group,size.overlap.category,size.category,size.overlap.term,size.term,k.K,p.adjust,qvalue,ENTREZIDs,SYMBOLs,ENSEMBLIDs
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION,C5,AntiIL5,GO:BP,36,31,17949,2,54,0.037037037037037035,0.07459483592885673,0.054533828077665304,9722/6262,NOS1AP/RYR2,ENSG00000198929/ENSG00000198626
GOBP_REGULATION_OF_ACTION_POTENTIAL,C5,AntiIL5,GO:BP,36,31,17949,2,55,0.03636363636363636,0.07552845863699971,0.05521636889461719,9722/6262,NOS1AP/RYR2,ENSG00000198929/ENSG00000198626
GOBP_MONONUCLEAR_CELL_MIGRATION,C5,AntiIL5,GO:BP,36,31,17949,3,189,0.015873015873015872,0.0757871461383478,0.05540548680805844,6373/3627/3579,CXCL11/CXCL10/CXCR2,ENSG00000169248/ENSG00000169245/ENSG00000180871
GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,C5,AntiIL5,GO:BP,36,31,17949,3,197,0.015228426395939087,0.08319394831015273,0.0608203559637158,91543/3434/200315/200315,RSAD2/IFIT1/APOBEC3A/APOBEC3A,ENSG00000134321/ENSG00000185745/ENSG00000128383/ENSG00000262156
GOBP_RESPONSE_TO_MECHANICAL_STIMULUS,C5,AntiIL5,GO:BP,36,31,17949,3,202,0.01485148514851485,0.08726554959221773,0.06379696957982055,3627/6262/79955,CXCL10/RYR2/PDZD7,ENSG00000169245/ENSG00000198626/ENSG00000186862
GOBP_CALCIUM_ION_TRANSPORT,C5,AntiIL5,GO:BP,36,31,17949,4,409,0.009779951100244499,0.08766709189074054,0.06409052393114907,6373/3627/9722/6262,CXCL11/CXCL10/NOS1AP/RYR2,ENSG00000169248/ENSG00000169245/ENSG00000198929/ENSG00000198626
GOBP_LYMPHOCYTE_CHEMOTAXIS,C5,AntiIL5,GO:BP,36,31,17949,2,63,0.031746031746031744,0.0882244335595218,0.06449797807147085,6373/3627,CXCL11/CXCL10,ENSG00000169248/ENSG00000169245
GOBP_MAINTENANCE_OF_LOCATION_IN_CELL,C5,AntiIL5,GO:BP,36,31,17949,3,209,0.014354066985645933,0.09004803553144183,0.06583115342041357,6373/3627/6262,CXCL11/CXCL10/RYR2,ENSG00000169248/ENSG00000169245/ENSG00000198626
GOBP_T_CELL_MIGRATION,C5,AntiIL5,GO:BP,36,31,17949,2,66,0.030303030303030304,0.0927233525612077,0.06778698960046292,6373/3627,CXCL11/CXCL10,ENSG00000169248/ENSG00000169245
GOBP_MYELOID_LEUKOCYTE_MIGRATION,C5,AntiIL5,GO:BP,36,31,17949,3,217,0.013824884792626729,0.09599216531080706,0.07017671095697538,6373/3627/3579,CXCL11/CXCL10/CXCR2,ENSG00000169248/ENSG00000169245/ENSG00000180871
GOBP_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS,C5,AntiIL5,GO:BP,36,31,17949,2,69,0.028985507246376812,0.09719879138931979,0.07105883554777678,83666/3434,PARP9/IFIT1,ENSG00000138496/ENSG00000185745
GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION,C5,AntiIL5,GO:BP,36,31,17949,2,72,0.027777777777777776,0.10165015938377384,0.0743130841012758,9722/6262,NOS1AP/RYR2,ENSG00000198929/ENSG00000198626
GOBP_LEUKOCYTE_CHEMOTAXIS,C5,AntiIL5,GO:BP,36,31,17949,3,225,0.013333333333333334,0.10165015938377384,0.0743130841012758,6373/3627/3579,CXCL11/CXCL10/CXCR2,ENSG00000169248/ENSG00000169245/ENSG00000180871
GOBP_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT,C5,AntiIL5,GO:BP,36,31,17949,2,74,0.02702702702702703,0.10523808685121454,0.07693609971928927,50674/163175,NEUROG3/LGI4,ENSG00000122859/ENSG00000153902
GOBP_LOCALIZATION_WITHIN_MEMBRANE,C5,AntiIL5,GO:BP,36,31,17949,2,75,0.02666666666666667,0.1060769723852946,0.07754938130805761,8326/55333,FZD9/SYNJ2BP,ENSG00000188763/ENSG00000213463
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,C5,AntiIL5,GO:BP,36,31,17949,2,76,0.02631578947368421,0.10691811923597418,0.07816431607092482,9722/6262,NOS1AP/RYR2,ENSG00000198929/ENSG00000198626
GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,C5,AntiIL5,GO:BP,36,31,17949,4,464,0.008620689655172414,0.10860631162887993,0.07939849793580014,91543/83666/3434/7784,RSAD2/PARP9/IFIT1/ZP3,ENSG00000134321/ENSG00000138496/ENSG00000185745/ENSG00000188372
GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,C5,AntiIL5,GO:BP,36,31,17949,2,78,0.02564102564102564,0.10860631162887993,0.07939849793580014,91543/7784,RSAD2/ZP3,ENSG00000134321/ENSG00000188372
GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,C5,AntiIL5,GO:BP,36,31,17949,2,83,0.024096385542168676,0.12037584072973416,0.08800281308106303,9722/6262,NOS1AP/RYR2,ENSG00000198929/ENSG00000198626
GOBP_METAL_ION_TRANSPORT,C5,AntiIL5,GO:BP,36,31,17949,4,486,0.00823045267489712,0.12306927948510094,0.08997189745793573,6373/3627/9722/6262,CXCL11/CXCL10/NOS1AP/RYR2,ENSG00000169248/ENSG00000169245/ENSG00000198929/ENSG00000198626
GOBP_INNER_EAR_MORPHOGENESIS,C5,AntiIL5,GO:BP,36,31,17949,2,90,0.022222222222222223,0.1360783469818129,0.099482398305381,8820/79955,HESX1/PDZD7,ENSG00000163666/ENSG00000186862
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION,C5,AntiIL5,GO:BP,36,31,17949,2,120,0.016666666666666666,0.14304968208564553,0.10457891182793616,9722/6262,NOS1AP/RYR2,ENSG00000198929/ENSG00000198626
GOBP_ACTION_POTENTIAL,C5,AntiIL5,GO:BP,36,31,17949,2,135,0.014814814814814815,0.14304968208564553,0.10457891182793616,9722/6262,NOS1AP/RYR2,ENSG00000198929/ENSG00000198626
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,C5,AntiIL5,GO:BP,36,31,17949,2,143,0.013986013986013986,0.14304968208564553,0.10457891182793616,6373/3627,CXCL11/CXCL10,ENSG00000169248/ENSG00000169245
GOBP_AMINO_SUGAR_BIOSYNTHETIC_PROCESS,C5,AntiIL5,GO:BP,36,31,17949,1,13,0.07692307692307693,0.14304968208564553,0.10457891182793616,2673,GFPT1,ENSG00000198380
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES,C5,AntiIL5,GO:BP,36,31,17949,2,118,0.01694915254237288,0.14304968208564553,0.10457891182793616,3433/8326,IFIT2/FZD9,ENSG00000119922/ENSG00000188763
GOBP_AUDITORY_RECEPTOR_CELL_MORPHOGENESIS,C5,AntiIL5,GO:BP,36,31,17949,1,16,0.0625,0.14304968208564553,0.10457891182793616,79955,PDZD7,ENSG00000186862
GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_COMMUNICATION,C5,AntiIL5,GO:BP,36,31,17949,1,12,0.08333333333333333,0.14304968208564553,0.10457891182793616,6262,RYR2,ENSG00000198626
GOBP_CARDIAC_LEFT_VENTRICLE_MORPHOGENESIS,C5,AntiIL5,GO:BP,36,31,17949,1,14,0.07142857142857142,0.14304968208564553,0.10457891182793616,6262,RYR2,ENSG00000198626
GOBP_CARDIAC_MUSCLE_CONTRACTION,C5,AntiIL5,GO:BP,36,31,17949,2,135,0.014814814814814815,0.14304968208564553,0.10457891182793616,9722/6262,NOS1AP/RYR2,ENSG00000198929/ENSG00000198626
GOBP_CELL_CHEMOTAXIS,C5,AntiIL5,GO:BP,36,31,17949,3,305,0.009836065573770493,0.14304968208564553,0.10457891182793616,6373/3627/3579,CXCL11/CXCL10/CXCR2,ENSG00000169248/ENSG00000169245/ENSG00000180871
GOBP_CELLULAR_RESPONSE_TO_CAFFEINE,C5,AntiIL5,GO:BP,36,31,17949,1,10,0.1,0.14304968208564553,0.10457891182793616,6262,RYR2,ENSG00000198626
GOBP_CELLULAR_RESPONSE_TO_EPINEPHRINE_STIMULUS,C5,AntiIL5,GO:BP,36,31,17949,1,12,0.08333333333333333,0.14304968208564553,0.10457891182793616,6262,RYR2,ENSG00000198626
GOBP_CELLULAR_RESPONSE_TO_INTERFERON_ALPHA,C5,AntiIL5,GO:BP,36,31,17949,1,11,0.09090909090909091,0.14304968208564553,0.10457891182793616,3433,IFIT2,ENSG00000119922
GOBP_CELLULAR_RESPONSE_TO_PURINE_CONTAINING_COMPOUND,C5,AntiIL5,GO:BP,36,31,17949,1,13,0.07692307692307693,0.14304968208564553,0.10457891182793616,6262,RYR2,ENSG00000198626
GOBP_CYTIDINE_TO_URIDINE_EDITING,C5,AntiIL5,GO:BP,36,31,17949,1,12,0.08333333333333333,0.14304968208564553,0.10457891182793616,200315/200315,APOBEC3A/APOBEC3A,ENSG00000128383/ENSG00000262156
GOBP_DETECTION_OF_CALCIUM_ION,C5,AntiIL5,GO:BP,36,31,17949,1,13,0.07692307692307693,0.14304968208564553,0.10457891182793616,6262,RYR2,ENSG00000198626
GOBP_DETECTION_OF_MECHANICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_SOUND,C5,AntiIL5,GO:BP,36,31,17949,1,14,0.07142857142857142,0.14304968208564553,0.10457891182793616,79955,PDZD7,ENSG00000186862
GOBP_DNA_CYTOSINE_DEAMINATION,C5,AntiIL5,GO:BP,36,31,17949,1,10,0.1,0.14304968208564553,0.10457891182793616,200315/200315,APOBEC3A/APOBEC3A,ENSG00000128383/ENSG00000262156
GOBP_DNA_DEAMINATION,C5,AntiIL5,GO:BP,36,31,17949,1,14,0.07142857142857142,0.14304968208564553,0.10457891182793616,200315/200315,APOBEC3A/APOBEC3A,ENSG00000128383/ENSG00000262156
GOBP_EAR_MORPHOGENESIS,C5,AntiIL5,GO:BP,36,31,17949,2,110,0.01818181818181818,0.14304968208564553,0.10457891182793616,8820/79955,HESX1/PDZD7,ENSG00000163666/ENSG00000186862
GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS,C5,AntiIL5,GO:BP,36,31,17949,3,277,0.010830324909747292,0.14304968208564553,0.10457891182793616,8820/6262/79955,HESX1/RYR2/PDZD7,ENSG00000163666/ENSG00000198626/ENSG00000186862
GOBP_ENDOCRINE_SYSTEM_DEVELOPMENT,C5,AntiIL5,GO:BP,36,31,17949,2,122,0.01639344262295082,0.14304968208564553,0.10457891182793616,8820/50674,HESX1/NEUROG3,ENSG00000163666/ENSG00000122859
GOBP_ENDOTHELIAL_CELL_ACTIVATION,C5,AntiIL5,GO:BP,36,31,17949,1,12,0.08333333333333333,0.14304968208564553,0.10457891182793616,3627,CXCL10,ENSG00000169245
GOBP_ENSHEATHMENT_OF_NEURONS,C5,AntiIL5,GO:BP,36,31,17949,2,126,0.015873015873015872,0.14304968208564553,0.10457891182793616,23136/163175,EPB41L3/LGI4,ENSG00000082397/ENSG00000153902
GOBP_EPITHELIAL_TUBE_MORPHOGENESIS,C5,AntiIL5,GO:BP,36,31,17949,3,309,0.009708737864077669,0.14304968208564553,0.10457891182793616,8820/3627/6262,HESX1/CXCL10/RYR2,ENSG00000163666/ENSG00000169245/ENSG00000198626
GOBP_FOREBRAIN_MORPHOGENESIS,C5,AntiIL5,GO:BP,36,31,17949,1,10,0.1,0.14304968208564553,0.10457891182793616,8820,HESX1,ENSG00000163666
GOBP_FRUCTOSE_6_PHOSPHATE_METABOLIC_PROCESS,C5,AntiIL5,GO:BP,36,31,17949,1,11,0.09090909090909091,0.14304968208564553,0.10457891182793616,2673,GFPT1,ENSG00000198380
GOBP_HYPERSENSITIVITY,C5,AntiIL5,GO:BP,36,31,17949,1,10,0.1,0.14304968208564553,0.10457891182793616,7784,ZP3,ENSG00000188372
GOBP_LYMPHOCYTE_MIGRATION,C5,AntiIL5,GO:BP,36,31,17949,2,117,0.017094017094017096,0.14304968208564553,0.10457891182793616,6373/3627,CXCL11/CXCL10,ENSG00000169248/ENSG00000169245
GOBP_MAINTENANCE_OF_LOCATION,C5,AntiIL5,GO:BP,36,31,17949,3,319,0.009404388714733543,0.14304968208564553,0.10457891182793616,6373/3627/6262,CXCL11/CXCL10/RYR2,ENSG00000169248/ENSG00000169245/ENSG00000198626
GOBP_MEMBRANE_FISSION,C5,AntiIL5,GO:BP,36,31,17949,1,15,0.06666666666666667,0.14304968208564553,0.10457891182793616,4600,MX2,ENSG00000183486
GOBP_MEMBRANE_REPOLARIZATION_DURING_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,C5,AntiIL5,GO:BP,36,31,17949,1,16,0.0625,0.14304968208564553,0.10457891182793616,9722,NOS1AP,ENSG00000198929
GOBP_MUSCLE_ORGAN_DEVELOPMENT,C5,AntiIL5,GO:BP,36,31,17949,3,317,0.00946372239747634,0.14304968208564553,0.10457891182793616,3627/1293/6262,CXCL10/COL6A3/RYR2,ENSG00000169245/ENSG00000163359/ENSG00000198626
GOBP_NAD_BIOSYNTHESIS_VIA_NICOTINAMIDE_RIBOSIDE_SALVAGE_PATHWAY,C5,AntiIL5,GO:BP,36,31,17949,1,14,0.07142857142857142,0.14304968208564553,0.10457891182793616,83666,PARP9,ENSG00000138496
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_BINDING,C5,AntiIL5,GO:BP,36,31,17949,2,96,0.020833333333333332,0.14304968208564553,0.10457891182793616,3433/3434,IFIT2/IFIT1,ENSG00000119922/ENSG00000185745
GOBP_NEGATIVE_REGULATION_OF_SINGLE_STRANDED_VIRAL_RNA_REPLICATION_VIA_DOUBLE_STRANDED_DNA_INTERMEDIATE,C5,AntiIL5,GO:BP,36,31,17949,1,16,0.0625,0.14304968208564553,0.10457891182793616,200315/200315,APOBEC3A/APOBEC3A,ENSG00000128383/ENSG00000262156
GOBP_NEGATIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,C5,AntiIL5,GO:BP,36,31,17949,2,149,0.013422818791946308,0.14304968208564553,0.10457891182793616,3627/55333,CXCL10/SYNJ2BP,ENSG00000169245/ENSG00000213463
GOBP_NON_RECOMBINATIONAL_REPAIR,C5,AntiIL5,GO:BP,36,31,17949,2,106,0.018867924528301886,0.14304968208564553,0.10457891182793616,83666/8370,PARP9/H4C14,ENSG00000138496/ENSG00000270882
GOBP_NOSE_DEVELOPMENT,C5,AntiIL5,GO:BP,36,31,17949,1,15,0.06666666666666667,0.14304968208564553,0.10457891182793616,8820,HESX1,ENSG00000163666
GOBP_NUCLEOSOME_ASSEMBLY,C5,AntiIL5,GO:BP,36,31,17949,2,145,0.013793103448275862,0.14304968208564553,0.10457891182793616,8349/8370,H2BC21/H4C14,ENSG00000184678/ENSG00000270882
