experiment,gene.set,pathway,contrast,fgsea.FDR,fgsea.ES,fgsea.NES,fgsea.size,fgsea.FC,gage.FDR,gage.geomean,gage.statmean,gage.size,gage.FC
EOS,HALLMARK,APICAL_JUNCTION,EOS.supp_HRV - none_HRV,0.371674491,0.307590117,1.181919518,156,up,0.588577237,0.113777335,1.209123727,156,up
EOS,HALLMARK,APICAL_JUNCTION,EOS.supp_none - none_none,0.866564417,0.279904034,1.060004367,156,up,0.89490872,0.764090628,0.720404686,156,down
EOS,HALLMARK,APICAL_JUNCTION,none_HRV - none_none,0.260574018,-0.313109786,-1.204646771,156,down,0.822186188,0.187358279,-0.888975228,156,down
EOS,HALLMARK,APICAL_SURFACE,EOS.supp_HRV - EOS.supp_none,0.626824661,-0.380638712,-1.086704108,31,down,0.903917566,0.721274054,-0.590104001,31,up
EOS,HALLMARK,APICAL_SURFACE,EOS.supp_HRV - none_HRV,0.371674491,0.457732559,1.335514833,31,up,0.588577237,0.102151645,1.283621838,31,up
EOS,HALLMARK,APICAL_SURFACE,EOS.supp_none - none_none,0.639906923,-0.493467106,-1.329229792,31,down,0.89490872,0.163536214,-0.988104581,31,down
EOS,HALLMARK,APICAL_SURFACE,none_HRV - none_none,0.062450185,-0.535308117,-1.582023288,31,down,0.524765017,0.034560394,-1.853923984,31,down
EOS,HALLMARK,APOPTOSIS,EOS.supp_HRV - EOS.supp_none,0.06714693,0.353467356,1.427675787,154,up,0.169930004,0.027188801,1.931394961,154,up
EOS,HALLMARK,APOPTOSIS,EOS.supp_HRV - none_HRV,1,-0.230349473,-0.863969787,154,down,0.885165915,0.601912822,-0.25852662,154,up
EOS,HALLMARK,APOPTOSIS,EOS.supp_none - none_none,1,-0.20006545,-0.698187022,154,down,0.89490872,0.556919581,0.143286705,154,down
EOS,HALLMARK,APOPTOSIS,none_HRV - none_none,0.020924207,0.37215066,1.525037789,154,up,0.155059041,0.024809447,1.971432539,154,up
EOS,HALLMARK,BILE_ACID_METABOLISM,EOS.supp_HRV - EOS.supp_none,0.101674573,-0.413799079,-1.462880574,89,down,0.90489948,0.054293969,-1.612768989,89,down
EOS,HALLMARK,BILE_ACID_METABOLISM,EOS.supp_HRV - none_HRV,0.951313261,0.25995756,0.918970064,89,up,0.752543732,0.285966618,0.566278309,89,up
EOS,HALLMARK,BILE_ACID_METABOLISM,EOS.supp_none - none_none,0.639906923,0.359323867,1.254400934,89,up,0.915661781,0.1192909,1.182557296,89,up
EOS,HALLMARK,BILE_ACID_METABOLISM,none_HRV - none_none,0.364656381,-0.331624182,-1.175984564,89,down,0.822186188,0.1503358,-1.038054083,89,down
EOS,HALLMARK,CHOLESTEROL_HOMEOSTASIS,EOS.supp_HRV - EOS.supp_none,0.864297254,-0.261841933,-0.879950387,68,down,0.903917566,0.631023471,-0.335264786,68,up
EOS,HALLMARK,CHOLESTEROL_HOMEOSTASIS,EOS.supp_HRV - none_HRV,0.797704849,0.289571233,0.979299588,68,up,0.74555478,0.189531166,0.882762716,68,up
EOS,HALLMARK,CHOLESTEROL_HOMEOSTASIS,EOS.supp_none - none_none,1,-0.199352862,-0.617530223,68,down,0.89490872,0.564728457,0.16330854,68,down
EOS,HALLMARK,CHOLESTEROL_HOMEOSTASIS,none_HRV - none_none,0.731043863,-0.289110126,-0.981967894,68,down,0.822186188,0.232685009,-0.732131028,68,down
EOS,HALLMARK,COAGULATION,EOS.supp_HRV - EOS.supp_none,0.626824661,-0.296030656,-1.055107801,100,down,0.903917566,0.576493249,-0.193188016,100,up
EOS,HALLMARK,COAGULATION,EOS.supp_HRV - none_HRV,0.34965035,0.351877689,1.275817757,100,up,0.588577237,0.1054739,1.255300958,100,up
EOS,HALLMARK,COAGULATION,EOS.supp_none - none_none,0.914808462,-0.296890888,-0.984362163,100,down,0.89490872,0.288149607,-0.55979644,100,down
EOS,HALLMARK,COAGULATION,none_HRV - none_none,0.129935032,-0.381183295,-1.383826819,100,down,0.548671644,0.065840597,-1.513825172,100,down
EOS,HALLMARK,COMPLEMENT,EOS.supp_HRV - EOS.supp_none,0.232648885,0.314344225,1.29817649,172,up,0.228675827,0.041161649,1.742480475,172,up
EOS,HALLMARK,COMPLEMENT,EOS.supp_HRV - none_HRV,1,0.22050444,0.857405105,172,up,0.885165915,0.594195285,-0.238534492,172,up
EOS,HALLMARK,COMPLEMENT,EOS.supp_none - none_none,1,-0.24041425,-0.845550711,172,down,0.89490872,0.367358862,-0.3391338,172,down
EOS,HALLMARK,COMPLEMENT,none_HRV - none_none,0.1668335,0.288895974,1.208189041,172,up,0.306137282,0.055104711,1.601414475,172,up
EOS,HALLMARK,DNA_REPAIR,EOS.supp_HRV - EOS.supp_none,1,0.16144728,0.648905205,144,up,0.852993816,0.29534991,0.538543673,144,up
EOS,HALLMARK,DNA_REPAIR,EOS.supp_HRV - none_HRV,1,0.191308136,0.724983981,144,up,0.749005779,0.268224891,0.619152738,144,up
EOS,HALLMARK,DNA_REPAIR,EOS.supp_none - none_none,1,0.115668932,0.43043263,144,up,0.89490872,0.617325846,0.298802155,144,down
EOS,HALLMARK,DNA_REPAIR,none_HRV - none_none,1,-0.154545358,-0.587868878,144,down,0.752280985,0.374738928,0.319685978,144,up
EOS,HALLMARK,E2F_TARGETS,EOS.supp_HRV - EOS.supp_none,0.986295681,-0.219083454,-0.859703323,200,down,0.903917566,0.751842959,-0.6810634,200,up
EOS,HALLMARK,E2F_TARGETS,EOS.supp_HRV - none_HRV,0.411783339,0.281402038,1.113247602,200,up,0.588577237,0.073100811,1.456017137,200,up
EOS,HALLMARK,E2F_TARGETS,EOS.supp_none - none_none,0.288398665,0.326304664,1.272036247,200,up,0.449635839,0.017985434,2.105336353,200,up
EOS,HALLMARK,E2F_TARGETS,none_HRV - none_none,1,-0.200923491,-0.79217446,200,down,0.877938583,0.579439465,-0.200617654,200,up
EOS,HALLMARK,EPITHELIAL_MESENCHYMAL_TRANSITION,EOS.supp_HRV - EOS.supp_none,0.005899139,-0.416669192,-1.589632969,158,down,0.90489948,0.040016302,-1.756494284,158,down
EOS,HALLMARK,EPITHELIAL_MESENCHYMAL_TRANSITION,EOS.supp_HRV - none_HRV,0.178109748,-0.372432802,-1.396746527,158,down,0.699311784,0.125876121,-1.148371585,158,down
EOS,HALLMARK,EPITHELIAL_MESENCHYMAL_TRANSITION,EOS.supp_none - none_none,0.866564417,-0.302145778,-1.056127688,158,down,0.89490872,0.449578777,-0.126838204,158,down
EOS,HALLMARK,EPITHELIAL_MESENCHYMAL_TRANSITION,none_HRV - none_none,0.129935032,-0.338894005,-1.301662943,158,down,0.822186188,0.157183167,-1.00777892,158,down
EOS,HALLMARK,ESTROGEN_RESPONSE_EARLY,EOS.supp_HRV - EOS.supp_none,0.572289157,-0.280220327,-1.075209676,168,down,0.903917566,0.612601602,-0.286343483,168,up
EOS,HALLMARK,ESTROGEN_RESPONSE_EARLY,EOS.supp_HRV - none_HRV,0.34562212,-0.338522124,-1.279108793,168,down,0.900806188,0.226506127,-0.751320251,168,down
EOS,HALLMARK,ESTROGEN_RESPONSE_EARLY,EOS.supp_none - none_none,0.914808462,-0.288815685,-1.015282489,168,down,0.89490872,0.454062548,-0.115492568,168,down
EOS,HALLMARK,ESTROGEN_RESPONSE_EARLY,none_HRV - none_none,0.663341117,-0.267103937,-1.034437774,168,down,0.83883981,0.436196701,0.160744638,168,up
EOS,HALLMARK,ESTROGEN_RESPONSE_LATE,EOS.supp_HRV - EOS.supp_none,0.717135258,0.242145107,0.98443374,162,up,0.903917566,0.494934896,0.012706706,162,up
EOS,HALLMARK,ESTROGEN_RESPONSE_LATE,EOS.supp_HRV - none_HRV,0.371674491,-0.32219746,-1.21462764,162,down,0.722839507,0.159024692,-1.000066504,162,down
EOS,HALLMARK,ESTROGEN_RESPONSE_LATE,EOS.supp_none - none_none,0.866564417,-0.322161059,-1.127411365,162,down,0.89490872,0.3139474,-0.485159916,162,down
EOS,HALLMARK,ESTROGEN_RESPONSE_LATE,none_HRV - none_none,0.252884463,0.287248588,1.184015487,162,up,0.752280985,0.35816477,0.363690105,162,up
EOS,HALLMARK,FATTY_ACID_METABOLISM,EOS.supp_HRV - EOS.supp_none,0.629514964,-0.276616513,-1.039235607,137,down,0.924753031,0.795287607,-0.826370674,137,up
EOS,HALLMARK,FATTY_ACID_METABOLISM,EOS.supp_HRV - none_HRV,1,-0.196067586,-0.728938592,137,down,0.885165915,0.574138627,-0.187111393,137,up
EOS,HALLMARK,FATTY_ACID_METABOLISM,EOS.supp_none - none_none,1,0.198118583,0.737713124,137,up,0.89490872,0.7696215,0.73880018,137,down
EOS,HALLMARK,FATTY_ACID_METABOLISM,none_HRV - none_none,1,-0.206221329,-0.78055995,137,down,0.87272908,0.558546611,-0.147451211,137,up
EOS,HALLMARK,G2M_CHECKPOINT,EOS.supp_HRV - EOS.supp_none,0.572289157,-0.277873703,-1.086116161,196,down,0.903917566,0.759290755,-0.704743887,196,up
EOS,HALLMARK,G2M_CHECKPOINT,EOS.supp_HRV - none_HRV,1,0.206324512,0.820217785,196,up,0.764185184,0.305674074,0.508563882,196,up
EOS,HALLMARK,G2M_CHECKPOINT,EOS.supp_none - none_none,0.26534376,0.340811597,1.331871491,196,up,0.449635839,0.011320639,2.289423028,196,up
EOS,HALLMARK,G2M_CHECKPOINT,none_HRV - none_none,1,-0.177041156,-0.697562677,196,down,0.752280985,0.297225808,0.532883852,196,up
EOS,HALLMARK,GLYCOLYSIS,EOS.supp_HRV - EOS.supp_none,0.629514964,-0.268685247,-1.036497976,175,down,0.903917566,0.751417784,-0.679681471,175,up
EOS,HALLMARK,GLYCOLYSIS,EOS.supp_HRV - none_HRV,0.371674491,-0.306159572,-1.164620666,175,down,0.722839507,0.151079995,-1.033363659,175,down
EOS,HALLMARK,GLYCOLYSIS,EOS.supp_none - none_none,1,0.228339732,0.881595616,175,up,0.89490872,0.755425543,0.69240232,175,down
EOS,HALLMARK,GLYCOLYSIS,none_HRV - none_none,0.977900978,0.214786989,0.902125467,175,up,0.752280985,0.307049604,0.504686776,175,up
EOS,HALLMARK,HEDGEHOG_SIGNALING,EOS.supp_HRV - EOS.supp_none,0.728416192,-0.34664815,-0.978794011,29,down,0.903917566,0.72417911,-0.598955083,29,up
EOS,HALLMARK,HEDGEHOG_SIGNALING,EOS.supp_HRV - none_HRV,0.371674491,-0.471566936,-1.317774887,29,down,0.900806188,0.236861854,-0.721466244,29,down
EOS,HALLMARK,HEDGEHOG_SIGNALING,EOS.supp_none - none_none,0.914808462,0.343616102,0.970790177,29,up,0.89490872,0.696322447,0.516926472,29,down
EOS,HALLMARK,HEDGEHOG_SIGNALING,none_HRV - none_none,0.614272809,0.363972334,1.095142272,29,up,0.752280985,0.368566993,0.337327066,29,up
EOS,HALLMARK,HEME_METABOLISM,EOS.supp_HRV - EOS.supp_none,0.571428571,0.260092495,1.074346093,184,up,0.418374837,0.100409961,1.281536757,184,up
EOS,HALLMARK,HEME_METABOLISM,EOS.supp_HRV - none_HRV,0.508540373,0.270760237,1.063051023,184,up,0.588577237,0.124416797,1.155053957,184,up
EOS,HALLMARK,HEME_METABOLISM,EOS.supp_none - none_none,1,0.212970988,0.825182526,184,up,0.89490872,0.669410682,0.438659328,184,down
EOS,HALLMARK,HEME_METABOLISM,none_HRV - none_none,0.731043863,0.235070099,0.992372101,184,up,0.752280985,0.235163592,0.722698507,184,up
EOS,HALLMARK,HYPOXIA,EOS.supp_HRV - EOS.supp_none,0.280688623,0.286653977,1.184695228,173,up,0.418374837,0.083852203,1.382536538,173,up
EOS,HALLMARK,HYPOXIA,EOS.supp_HRV - none_HRV,0.508540373,0.275566278,1.074002779,173,up,0.74555478,0.219184619,0.775859452,173,up
EOS,HALLMARK,HYPOXIA,EOS.supp_none - none_none,1,-0.253990995,-0.892277979,173,down,0.89490872,0.457249444,-0.10744463,173,down
EOS,HALLMARK,HYPOXIA,none_HRV - none_none,0.704495614,0.24326574,1.020775482,173,up,0.752280985,0.258473679,0.648734815,173,up
EOS,HALLMARK,IL2_STAT5_SIGNALING,EOS.supp_HRV - EOS.supp_none,0.728416192,-0.250607662,-0.973906249,187,down,0.852993816,0.314542685,0.483418564,187,up
EOS,HALLMARK,IL2_STAT5_SIGNALING,EOS.supp_HRV - none_HRV,0.365853659,-0.319913128,-1.227995892,187,down,0.699311784,0.10738185,-1.242702303,187,down
EOS,HALLMARK,IL2_STAT5_SIGNALING,EOS.supp_none - none_none,1,-0.261890692,-0.930091126,187,down,0.89490872,0.272175952,-0.606811343,187,down
EOS,HALLMARK,IL2_STAT5_SIGNALING,none_HRV - none_none,0.280535175,0.270701706,1.150378164,187,up,0.752280985,0.198459226,0.848140303,187,up
EOS,HALLMARK,IL6_JAK_STAT3_SIGNALING,EOS.supp_HRV - EOS.supp_none,6.67E-04,0.511921238,1.895894366,82,up,0.046242829,0.004624283,2.637253991,82,up
EOS,HALLMARK,IL6_JAK_STAT3_SIGNALING,EOS.supp_HRV - none_HRV,1,0.196378791,0.685713827,82,up,0.809194959,0.439578317,0.152287921,82,up
EOS,HALLMARK,IL6_JAK_STAT3_SIGNALING,EOS.supp_none - none_none,0.914808462,-0.30717938,-0.98132916,82,down,0.89490872,0.291159067,-0.551115962,82,down
EOS,HALLMARK,IL6_JAK_STAT3_SIGNALING,none_HRV - none_none,0.020924207,0.455703226,1.690831896,82,up,0.125215664,0.015667793,2.172945327,82,up
EOS,HALLMARK,INFLAMMATORY_RESPONSE,EOS.supp_HRV - EOS.supp_none,2.86E-04,0.434011477,1.790333936,177,up,0.013122313,0.001049785,3.100459587,177,up
EOS,HALLMARK,INFLAMMATORY_RESPONSE,EOS.supp_HRV - none_HRV,0.371674491,-0.310147539,-1.18092514,177,down,0.699311784,0.123857804,-1.157837252,177,down
EOS,HALLMARK,INFLAMMATORY_RESPONSE,EOS.supp_none - none_none,0.866564417,-0.312239494,-1.100368156,177,down,0.89490872,0.174346276,-0.938423011,177,down
EOS,HALLMARK,INFLAMMATORY_RESPONSE,none_HRV - none_none,0.001459992,0.410012054,1.72278628,177,up,0.012394992,9.92E-04,3.116922031,177,up
EOS,HALLMARK,INTERFERON_ALPHA_RESPONSE,EOS.supp_HRV - EOS.supp_none,7.54E-25,0.798426399,3.032529503,97,up,5.33E-17,2.13E-18,9.640577034,97,up
EOS,HALLMARK,INTERFERON_ALPHA_RESPONSE,EOS.supp_HRV - none_HRV,0.005533288,-0.510581323,-1.793145195,97,down,0.054442904,0.001088858,-3.124114793,97,down
EOS,HALLMARK,INTERFERON_ALPHA_RESPONSE,EOS.supp_none - none_none,0.001718858,-0.550612516,-1.820384842,97,down,0.008598889,2.00E-04,-3.613897641,97,down
EOS,HALLMARK,INTERFERON_ALPHA_RESPONSE,none_HRV - none_none,9.21E-22,0.783526092,2.985939463,97,up,8.19E-17,3.28E-18,9.543188593,97,up
EOS,HALLMARK,INTERFERON_GAMMA_RESPONSE,EOS.supp_HRV - EOS.supp_none,7.56E-34,0.732743695,3.058430679,198,up,1.84E-20,3.69E-22,10.22587714,198,up
EOS,HALLMARK,INTERFERON_GAMMA_RESPONSE,EOS.supp_HRV - none_HRV,0.098012583,-0.367032804,-1.416849832,198,down,0.129280808,0.005171232,-2.577919351,198,down
EOS,HALLMARK,INTERFERON_GAMMA_RESPONSE,EOS.supp_none - none_none,0.001718858,-0.449615652,-1.604717351,198,down,0.008598889,3.44E-04,-3.423066589,198,down
EOS,HALLMARK,INTERFERON_GAMMA_RESPONSE,none_HRV - none_none,2.81E-26,0.679335584,2.89546296,198,up,5.24E-18,1.05E-19,9.503058001,198,up
EOS,HALLMARK,KRAS_SIGNALING_DN,EOS.supp_HRV - EOS.supp_none,0.411211816,0.302199647,1.165730813,106,up,0.873539862,0.401828337,0.248973699,106,up
EOS,HALLMARK,KRAS_SIGNALING_DN,EOS.supp_HRV - none_HRV,0.098012583,-0.412818962,-1.470936748,106,down,0.694007353,0.041640441,-1.74043575,106,down
EOS,HALLMARK,KRAS_SIGNALING_DN,EOS.supp_none - none_none,0.459317585,-0.39368593,-1.309645357,106,down,0.89490872,0.085154866,-1.376178658,106,down
EOS,HALLMARK,KRAS_SIGNALING_DN,none_HRV - none_none,0.731043863,0.253459238,0.97316063,106,up,0.752280985,0.333326351,0.431358653,106,up
EOS,HALLMARK,KRAS_SIGNALING_UP,EOS.supp_HRV - EOS.supp_none,0.572289157,-0.280906174,-1.076843671,162,down,0.903917566,0.547169021,-0.118610637,162,up
EOS,HALLMARK,KRAS_SIGNALING_UP,EOS.supp_HRV - none_HRV,0.411783339,0.297277038,1.147356512,162,up,0.74555478,0.23857753,0.711739496,162,up
EOS,HALLMARK,KRAS_SIGNALING_UP,EOS.supp_none - none_none,0.866564417,-0.303008896,-1.06038785,162,down,0.89490872,0.35442546,-0.373742504,162,down
EOS,HALLMARK,KRAS_SIGNALING_UP,none_HRV - none_none,0.1668335,-0.330270892,-1.271319424,162,down,0.822186188,0.216444609,-0.785314222,162,down
EOS,HALLMARK,MITOTIC_SPINDLE,EOS.supp_HRV - EOS.supp_none,0.936855578,-0.225887149,-0.886308458,199,down,0.903917566,0.615298856,-0.293368913,199,up
EOS,HALLMARK,MITOTIC_SPINDLE,EOS.supp_HRV - none_HRV,1,-0.221433344,-0.85568938,199,down,0.809194959,0.358234644,0.363445122,199,up
EOS,HALLMARK,MITOTIC_SPINDLE,EOS.supp_none - none_none,1,0.204353384,0.798703899,199,up,0.89490872,0.753141874,0.685078225,199,down
EOS,HALLMARK,MITOTIC_SPINDLE,none_HRV - none_none,0.831330905,-0.237873674,-0.937909327,199,down,0.87272908,0.521793521,-0.054692751,199,up
EOS,HALLMARK,MTORC1_SIGNALING,EOS.supp_HRV - EOS.supp_none,1,-0.153648224,-0.602169387,197,down,0.767725477,0.245672153,0.688911447,197,up
EOS,HALLMARK,MTORC1_SIGNALING,EOS.supp_HRV - none_HRV,1,0.175225325,0.69654128,197,up,0.749005779,0.26964208,0.6145652,197,up
EOS,HALLMARK,MTORC1_SIGNALING,EOS.supp_none - none_none,1,0.231447544,0.905564916,197,up,0.915661781,0.112946892,1.213373588,197,up
EOS,HALLMARK,MTORC1_SIGNALING,none_HRV - none_none,1,0.171461415,0.731277202,197,up,0.607574967,0.145817992,1.056141385,197,up
EOS,HALLMARK,MYC_TARGETS_V1,EOS.supp_HRV - EOS.supp_none,1,-0.183915715,-0.721701929,200,down,0.903917566,0.481860115,0.045534668,200,up
EOS,HALLMARK,MYC_TARGETS_V1,EOS.supp_HRV - none_HRV,1,0.151559117,0.599579252,200,up,0.809194959,0.427964654,0.181746166,200,up
EOS,HALLMARK,MYC_TARGETS_V1,EOS.supp_none - none_none,1,0.19586123,0.7635275,200,up,0.89490872,0.579062184,0.199724169,200,down
EOS,HALLMARK,MYC_TARGETS_V1,none_HRV - none_none,1,-0.15071943,-0.594236554,200,down,0.87272908,0.477472944,0.056552425,200,up
EOS,HALLMARK,MYC_TARGETS_V2,EOS.supp_HRV - EOS.supp_none,0.425696594,-0.368965777,-1.21203571,58,down,0.94123916,0.115265155,-1.207811821,58,down
EOS,HALLMARK,MYC_TARGETS_V2,EOS.supp_HRV - none_HRV,1,0.225357931,0.745165465,58,up,0.74555478,0.234128393,0.728323662,58,up
EOS,HALLMARK,MYC_TARGETS_V2,EOS.supp_none - none_none,1,0.234373097,0.760472072,58,up,0.908235226,0.800276569,0.847217834,58,down
EOS,HALLMARK,MYC_TARGETS_V2,none_HRV - none_none,0.468200101,-0.341370568,-1.139356291,58,down,0.822186188,0.155602539,-1.018229598,58,down
EOS,HALLMARK,MYOGENESIS,EOS.supp_HRV - EOS.supp_none,0.130988024,-0.35009484,-1.324971799,147,down,0.94123916,0.084334892,-1.380016913,147,down
EOS,HALLMARK,MYOGENESIS,EOS.supp_HRV - none_HRV,0.211037277,0.357724835,1.358402247,147,up,0.588577237,0.061686131,1.545322101,147,up
EOS,HALLMARK,MYOGENESIS,EOS.supp_none - none_none,1,-0.275185238,-0.956201258,147,down,0.89490872,0.613550568,0.288864411,147,down
EOS,HALLMARK,MYOGENESIS,none_HRV - none_none,0.02106845,-0.386298054,-1.472249941,147,down,0.524765017,0.020192923,-2.059300051,147,down
EOS,HALLMARK,NOTCH_SIGNALING,EOS.supp_HRV - EOS.supp_none,0.234799802,-0.495550608,-1.412751382,30,down,0.930190128,0.818567312,-0.917175602,30,up
EOS,HALLMARK,NOTCH_SIGNALING,EOS.supp_HRV - none_HRV,0.688679245,-0.368613438,-1.033902937,30,down,0.836434252,0.508578396,-0.021603199,30,up
EOS,HALLMARK,NOTCH_SIGNALING,EOS.supp_none - none_none,0.639906923,-0.488940017,-1.312433025,30,down,0.89490872,0.09152743,-1.347820132,30,down
EOS,HALLMARK,NOTCH_SIGNALING,none_HRV - none_none,0.060500738,-0.544611902,-1.598856378,30,down,0.524765017,0.041981201,-1.75836234,30,down
EOS,HALLMARK,OXIDATIVE_PHOSPHORYLATION,EOS.supp_HRV - EOS.supp_none,1,-0.132430242,-0.519013075,197,down,0.903917566,0.488521319,0.028805085,197,up
EOS,HALLMARK,OXIDATIVE_PHOSPHORYLATION,EOS.supp_HRV - none_HRV,1,-0.162198872,-0.625758296,197,down,0.954772256,0.292631098,-0.546372603,197,down
EOS,HALLMARK,OXIDATIVE_PHOSPHORYLATION,EOS.supp_none - none_none,1,-0.129724505,-0.461434732,197,down,0.89490872,0.489015456,-0.027565133,197,down
EOS,HALLMARK,OXIDATIVE_PHOSPHORYLATION,none_HRV - none_none,1,-0.095129546,-0.374559835,197,down,0.752280985,0.360741504,0.356829044,197,up
EOS,HALLMARK,P53_PATHWAY,EOS.supp_HRV - EOS.supp_none,0.629514964,0.246008214,1.019717342,187,up,0.670739208,0.187806978,0.887073708,187,up
EOS,HALLMARK,P53_PATHWAY,EOS.supp_HRV - none_HRV,0.499150382,0.276721282,1.088166571,187,up,0.588577237,0.111324576,1.221583684,187,up
EOS,HALLMARK,P53_PATHWAY,EOS.supp_none - none_none,1,0.207561118,0.803975744,187,up,0.89490872,0.643444674,0.367964638,187,down
EOS,HALLMARK,P53_PATHWAY,none_HRV - none_none,1,0.207695952,0.882627936,187,up,0.752280985,0.376140492,0.315868063,187,up
EOS,HALLMARK,PANCREAS_BETA_CELLS,EOS.supp_HRV - EOS.supp_none,0.076779853,-0.65648178,-1.631197658,16,down,0.90489948,0.031088416,-1.941180918,16,down
EOS,HALLMARK,PANCREAS_BETA_CELLS,EOS.supp_HRV - none_HRV,0.508540373,0.466128142,1.155296661,16,up,0.809194959,0.39835535,0.260078111,16,up
EOS,HALLMARK,PANCREAS_BETA_CELLS,EOS.supp_none - none_none,0.914808462,-0.424275384,-1.005570619,16,down,0.89490872,0.293704243,-0.550835387,16,down
EOS,HALLMARK,PANCREAS_BETA_CELLS,none_HRV - none_none,0.003824166,-0.74699376,-1.927933651,16,down,0.524765017,0.030959096,-1.941801593,16,down
EOS,HALLMARK,PEROXISOME,EOS.supp_HRV - EOS.supp_none,0.280688623,-0.356164956,-1.263237934,91,down,0.94123916,0.1018355,-1.275959902,91,down
EOS,HALLMARK,PEROXISOME,EOS.supp_HRV - none_HRV,0.50274223,-0.323793226,-1.129330956,91,down,0.954772256,0.305527122,-0.509469418,91,down
EOS,HALLMARK,PEROXISOME,EOS.supp_none - none_none,1,0.234779826,0.825882693,91,up,0.89490872,0.669688902,0.439790452,91,down
EOS,HALLMARK,PEROXISOME,none_HRV - none_none,0.831330905,-0.262077808,-0.929074534,91,down,0.88487365,0.283159568,-0.574643957,91,down
EOS,HALLMARK,PI3K_AKT_MTOR_SIGNALING,EOS.supp_HRV - EOS.supp_none,0.99862259,-0.224544962,-0.799936159,96,down,0.852993816,0.352768327,0.378432179,96,up
EOS,HALLMARK,PI3K_AKT_MTOR_SIGNALING,EOS.supp_HRV - none_HRV,0.411783339,0.320610403,1.157887721,96,up,0.588577237,0.129486992,1.132615899,96,up
EOS,HALLMARK,PI3K_AKT_MTOR_SIGNALING,EOS.supp_none - none_none,1,0.184526854,0.647810221,96,up,0.89490872,0.655843284,0.401876933,96,down
EOS,HALLMARK,PI3K_AKT_MTOR_SIGNALING,none_HRV - none_none,0.715996535,-0.283284627,-1.01930413,96,down,0.87272908,0.527755752,-0.069722661,96,up
EOS,HALLMARK,PROTEIN_SECRETION,EOS.supp_HRV - EOS.supp_none,0.047973326,0.413272889,1.55484223,93,up,0.04840409,0.006002687,2.548625113,93,up
EOS,HALLMARK,PROTEIN_SECRETION,EOS.supp_HRV - none_HRV,1,0.148009835,0.530236044,93,up,0.809194959,0.436794395,0.159352467,93,up
EOS,HALLMARK,PROTEIN_SECRETION,EOS.supp_none - none_none,1,-0.16159814,-0.528668814,93,down,0.89490872,0.438460834,-0.155178569,93,down
